name,schedule,alternate_url,published_at,salary_from,salary_to,salary_currency,city,company,exp_level,requirement,responsibility
Backend-разработчик,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131964448,2026-04-08T17:52:32+0300,100000.0,,RUR,Москва,Айтисокет,Нет опыта,Базовые знания одного из языков программирования (<highlighttext>Python</highlighttext> / Java / Node.js / PHP / Go). Понимание принципов работы клиент-серверной архитектуры. Знание основ работы...,"Создание и поддержка API. Работа с базами данных (проектирование простых схем, написание запросов). Интеграция с внешними сервисами. Исправление багов и..."
Младший тестировщик ПО / Junior QA engineer,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/131988637,2026-04-09T13:15:01+0300,60000.0,80000.0,RUR,Москва,ИнтернетУрок,Нет опыта,"Законченные курсы по тестированию. Умение анализировать бизнес и функциональные требования, технические задания. Знание техник тест-дизайна и опыт применения теории...","...подходом Shift-left testing. Разработка тестовой документации, подготовка тестовых данных. Сопровождение релизов. Работа над несколькими проектами. Написание автотестов на <highlighttext>Python</highlighttext>."
Аналитик данных (SQL),"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/130971766,2026-04-02T12:07:13+0300,70000.0,80000.0,RUR,Москва,Чеки из Аптеки,Нет опыта,"Способны аргументированно отстаивать собственную точку зрения и слышать чужие. Знаете <highlighttext>Python</highlighttext> (numpy, pandas, scikit). Имеете опыт работы с Amplitude/AppsFlyer...","Ad-hock запросы поступающие от подразделений компании. Подготовка, контроль качества и заливка данных в базу. Поддержка справочников в актуальном состоянии. "
Стажер Data Engineer,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/132015906,2026-04-10T10:29:44+0300,,,,Москва,T2,Нет опыта,"...магистратуры или выпускник. Практические навыки SQL на уровне Join-, Select-запросов, оконных функций. Знание <highlighttext>Python</highlighttext> на уровне объектно-ориентированного программирования.",Принимать участие в разработке продуктов на основе больших данных. Участвовать в формировании модели данных. Писать скрипты SQL и <highlighttext>Python</highlighttext>.
Junior Python/Django Developer (стажер),"{'id': 'remote', 'name': 'Удаленная работа'}",https://hh.ru/vacancy/131890662,2026-04-07T03:08:34+0300,25000.0,,RUR,Москва,Кубитрино Технолоджис,Нет опыта,Базовые знания <highlighttext>Python</highlighttext> и Django (учебные проекты или pet-проекты подойдут). Понимание принципов работы веб-приложений. Навыки работы с HTML...,Разрабатывать и поддерживать веб-приложения на <highlighttext>Python</highlighttext>/Django. Устанавливать и настраивать приложения на серверах клиентов. Интегрировать платежные терминалы на сайты. 
Junior Backend разработчик,"{'id': 'remote', 'name': 'Удаленная работа'}",https://hh.ru/vacancy/131352140,2026-03-18T16:11:43+0300,80000.0,,RUR,Москва,Your CodeReview,Нет опыта,"Базовые знания <highlighttext>Python</highlighttext> (или другого нашего backend-языка, например, Java/Go/PHP — укажите актуальный) и понимание основ ООП. ","Комплексная разработка бэкенд-логики: от создания отдельных API-эндпоинтов и сервисов до интеграции с базами данных, внешними API и микросервисной..."
Junior Data Analyst,"{'id': 'remote', 'name': 'Удаленная работа'}",https://hh.ru/vacancy/131713491,2026-04-12T16:58:26+0300,,,,Москва,Topface Media,Нет опыта,"Образование в профильной или смежной области. Знание <highlighttext>Python</highlighttext> (в особенности pandas), Google Sheets, Google Colab, GitHub, API. Будет круто, если...","Выгружать, обрабатывать и структурировать данные из различных источников. Разрабатывать системы автоматизации и мониторинга бизнес-процессов агентства. Искать и устранять баги..."
Младший специалист-аналитик данных ВТБ РОСТ,"{'id': 'fullDay', 'name': 'Полный день'}",https://hh.ru/vacancy/132046636,2026-04-11T19:30:40+0300,130000.0,130000.0,RUR,Москва,Changellenge,Нет опыта,"Имеешь релевантный опыт от шести месяцев. Хорошо знаешь SQL, <highlighttext>Python</highlighttext> для анализа данных. Пользуешься MS Excel на продвинутом уровне. ",Автоматизация отчетности. Оптимизация алгоритмов по выгрузке и обновлению данных. Подготовка аналитических материалов для руководства и участие в витринизации данных.
Python-разработчик (Junior),"{'id': 'remote', 'name': 'Удаленная работа'}",https://hh.ru/vacancy/131451573,2026-03-23T09:57:23+0300,80000.0,,RUR,Москва,Поколение,Нет опыта,Что ты будешь делать: — Знание <highlighttext>Python</highlighttext> и базовых принципов веб-разработки. — Опыт работы (или учебных проектов) с Django или FastAPI. — ,Разрабатывать и поддерживать внутренние и клиентские веб-сервисы на <highlighttext>Python</highlighttext> (Django/FastAPI). — Работать над API для мобильного приложения и сайта. — 
AI-разработчик C++ / Python,"{'id': 'remote', 'name': 'Удаленная работа'}",https://hh.ru/vacancy/131912459,2026-04-07T13:04:28+0300,100000.0,,RUR,Москва,Metadesk,Нет опыта,"AI-разработчик C++ / <highlighttext>Python</highlighttext> (Вайб-кодер). Имеет опыт разработки ПО на C++ и/или <highlighttext>Python</highlighttext>. Уверенно работает с Linux, Git...","Участвовать в разработке, модернизации и адаптации программного анализатора данных шин различных видов транспорта. Реализовывать программные модули и компоненты системы в..."
