id,premium,name,department,has_test,response_letter_required,area,salary,salary_range,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,show_contacts,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,fly_in_fly_out_duration,work_format,working_hours,work_schedule_by_days,accept_labor_contract,civil_law_contracts,night_shifts,professional_roles,accept_incomplete_resumes,experience,employment,employment_form,internship,adv_response_url,is_adv_vacancy,adv_context,branding,show_logo_in_search
131248228,False,Technical Artist / Технический художник в Unity,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Лубянская площадь', 'building': None, 'lat': 55.759653, 'lng': 37.626618, 'description': None, 'raw': 'Москва, Лубянская площадь', 'metro': {'station_name': 'Китай-город', 'line_name': 'Калужско-Рижская', 'station_id': '6.50', 'line_id': '6', 'lat': 55.756498, 'lng': 37.631326}, 'metro_stations': [{'station_name': 'Китай-город', 'line_name': 'Калужско-Рижская', 'station_id': '6.50', 'line_id': '6', 'lat': 55.756498, 'lng': 37.631326}, {'station_name': 'Кузнецкий мост', 'line_name': 'Таганско-Краснопресненская', 'station_id': '7.67', 'line_id': '7', 'lat': 55.761498, 'lng': 37.624423}, {'station_name': 'Лубянка', 'line_name': 'Сокольническая', 'station_id': '1.66', 'line_id': '1', 'lat': 55.759889, 'lng': 37.625336}, {'station_name': 'Площадь Революции', 'line_name': 'Арбатско-Покровская', 'station_id': '3.100', 'line_id': '3', 'lat': 55.756741, 'lng': 37.62236}], 'id': '24233443'}",,,2026-03-16T11:24:08+0300,2026-03-16T11:24:08+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=131248228,True,,https://api.hh.ru/vacancies/131248228?host=hh.ru,https://hh.ru/vacancy/131248228,[],"{'id': '11460680', 'name': 'Геомакс Финанс', 'url': 'https://api.hh.ru/employers/11460680', 'alternate_url': 'https://hh.ru/employer/11460680', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original-round/6970177.png', '90': 'https://img.hhcdn.ru/employer-logo-round/6970178.png', '240': 'https://img.hhcdn.ru/employer-logo-round/6970179.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=11460680', 'country_id': 1, 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Понимание и работа с Addressables, AssetBundles. Знание <highlighttext>Python</highlighttext>/C# (Editor Scripting). Умение работать с Git. Profiling и дебаггинг. ', 'responsibility': 'Импорт и настройка моделей в Unity. Настройка материалов и префабов. Создание простых шейдеров (Shader Graph). Настройка партикл. Настройка Animator Controller. '}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],"[{'id': 'from_four_to_six_hours_in_a_day', 'name': 'Можно сменами по\xa04-6\xa0часов в\xa0день'}]","[{'id': 'start_after_sixteen', 'name': 'С\xa0началом дня после 16:00'}]",True,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}, {'id': 'REMOTE', 'name': 'Удалённо'}, {'id': 'HYBRID', 'name': 'Гибрид'}, {'id': 'FIELD_WORK', 'name': 'Разъездной'}]","[{'id': 'HOURS_2', 'name': '2\xa0часа'}, {'id': 'HOURS_3', 'name': '3 часа'}, {'id': 'HOURS_4', 'name': '4\xa0часа'}, {'id': 'HOURS_5', 'name': '5 часов'}, {'id': 'HOURS_6', 'name': '6\xa0часов'}, {'id': 'HOURS_7', 'name': '7 часов'}, {'id': 'HOURS_8', 'name': '8\xa0часов'}, {'id': 'HOURS_9', 'name': '9 часов'}, {'id': 'HOURS_10', 'name': '10\xa0часов'}, {'id': 'HOURS_11', 'name': '11 часов'}, {'id': 'HOURS_12', 'name': '12\xa0часов'}, {'id': 'HOURS_24', 'name': '24\xa0часа'}, {'id': 'FLEXIBLE', 'name': 'По\xa0договорённости'}, {'id': 'OTHER', 'name': 'Другое'}]","[{'id': 'SIX_ON_ONE_OFF', 'name': '6/1'}, {'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}, {'id': 'FOUR_ON_FOUR_OFF', 'name': '4/4'}, {'id': 'FOUR_ON_THREE_OFF', 'name': '4/3'}, {'id': 'FOUR_ON_TWO_OFF', 'name': '4/2'}, {'id': 'THREE_ON_THREE_OFF', 'name': '3/3'}, {'id': 'THREE_ON_TWO_OFF', 'name': '3/2'}, {'id': 'TWO_ON_TWO_OFF', 'name': '2/2'}, {'id': 'TWO_ON_ONE_OFF', 'name': '2/1'}, {'id': 'ONE_ON_THREE_OFF', 'name': '1/3'}, {'id': 'ONE_ON_TWO_OFF', 'name': '1/2'}, {'id': 'WEEKEND', 'name': 'По\xa0выходным'}, {'id': 'FLEXIBLE', 'name': 'Свободный'}, {'id': 'OTHER', 'name': 'Другое'}]",True,"[{'id': 'SELF_EMPLOYED', 'name': 'с\xa0самозанятым'}, {'id': 'INDIVIDUAL_ENTREPRENEUR', 'name': 'с\xa0ИП'}, {'id': 'INDIVIDUAL_PERSON', 'name': 'с\xa0физлицом'}]",True,"[{'id': '96', 'name': 'Программист, разработчик'}]",True,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'part', 'name': 'Частичная занятость'}","{'id': 'PART', 'name': 'Частичная'}",True,,False,,,
131211990,False,Ассистент психолога,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': None, 'to': 50000, 'currency': 'RUR', 'gross': False}","{'from': None, 'to': 50000, 'currency': 'RUR', 'gross': False, 'mode': {'id': 'MONTH', 'name': 'За\xa0месяц'}, 'frequency': None}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Большая Садовая улица', 'building': '5к1', 'lat': 55.76958, 'lng': 37.59171, 'description': None, 'raw': 'Москва, Большая Садовая улица, 5к1', 'metro': {'station_name': 'Белорусская', 'line_name': 'Кольцевая', 'station_id': '5.20', 'line_id': '5', 'lat': 55.775179, 'lng': 37.582303}, 'metro_stations': [{'station_name': 'Белорусская', 'line_name': 'Кольцевая', 'station_id': '5.20', 'line_id': '5', 'lat': 55.775179, 'lng': 37.582303}, {'station_name': 'Маяковская', 'line_name': 'Замоскворецкая', 'station_id': '2.80', 'line_id': '2', 'lat': 55.769808, 'lng': 37.596192}], 'id': '15457857'}",,,2026-04-06T16:01:32+0300,2026-04-06T16:01:32+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=131211990,False,,https://api.hh.ru/vacancies/131211990?host=hh.ru,https://hh.ru/vacancy/131211990,[],"{'id': '10603468', 'name': 'Октопустех', 'url': 'https://api.hh.ru/employers/10603468', 'alternate_url': 'https://hh.ru/employer/10603468', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original-round/6449976.jpeg', '90': 'https://img.hhcdn.ru/employer-logo-round/6449977.jpeg', '240': 'https://img.hhcdn.ru/employer-logo-round/6449978.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=10603468', 'country_id': 1, 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Навык работы в Excel, SPSS. Будет плюсом навык работы с PsycoPy и знания <highlighttext>Python</highlighttext>. Навык работы с презентациями. ', 'responsibility': 'Участие в ведении исследовательского проекта в направлении нейробиологии, психологии. Работа на исследовательских проектах совместно с главным психологом и аналитиком. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],[],"[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",True,[],False,"[{'id': '101', 'name': 'Психолог'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,,,
131829732,False,"Начинающий разработчик Python, Команда по управлению финансовыми рисками","{'id': '201-201-itserv', 'name': 'Kept, ИТ-сервисы'}",True,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Ленинградский проспект', 'building': '34А', 'lat': 55.785275, 'lng': 37.568147, 'description': None, 'raw': 'Москва, Ленинградский проспект, 34А', 'metro': {'station_name': 'Белорусская', 'line_name': 'Замоскворецкая', 'station_id': '2.19', 'line_id': '2', 'lat': 55.777439, 'lng': 37.582107}, 'metro_stations': [{'station_name': 'Белорусская', 'line_name': 'Замоскворецкая', 'station_id': '2.19', 'line_id': '2', 'lat': 55.777439, 'lng': 37.582107}, {'station_name': 'Белорусская', 'line_name': 'МЦД-4', 'station_id': '136.894', 'line_id': '136', 'lat': 55.776389, 'lng': 37.580278}, {'station_name': 'Динамо', 'line_name': 'Замоскворецкая', 'station_id': '2.34', 'line_id': '2', 'lat': 55.789704, 'lng': 37.558212}, {'station_name': 'Петровский парк', 'line_name': 'Большая кольцевая линия', 'station_id': '97.599', 'line_id': '97', 'lat': 55.79233, 'lng': 37.55952}], 'id': '19572056'}",,,2026-04-03T17:45:28+0300,2026-04-03T17:45:28+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=131829732,False,,https://api.hh.ru/vacancies/131829732?host=hh.ru,https://hh.ru/vacancy/131829732,[],"{'id': '201', 'name': 'Kept (Кэпт)', 'url': 'https://api.hh.ru/employers/201', 'alternate_url': 'https://hh.ru/employer/201', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original-round/5929644.png', '90': 'https://img.hhcdn.ru/employer-logo-round/5929645.png', '240': 'https://img.hhcdn.ru/employer-logo-round/5929646.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=201', 'country_id': 1, 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее образование – математика, информатика, информатика в бизнесе и аналогичные. Хороший уровень <highlighttext>Python</highlighttext>. Понимание ООП. Знание математики (теория вероятностей и математическая...', 'responsibility': 'Принимать участие в проектах по разработке ИТ-решений для страховых компаний. Решать задачи на стыке математики и программирования (от написания...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'HYBRID', 'name': 'Гибрид'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",True,[],False,"[{'id': '156', 'name': 'BI-аналитик, аналитик данных'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,,"{'type': 'MAKEUP', 'tariff': None}",True
131713491,False,Junior Data Analyst,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,,"{'id': 'open', 'name': 'Открытая'}",,,,2026-04-06T16:58:26+0300,2026-04-06T16:58:26+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=131713491,False,,https://api.hh.ru/vacancies/131713491?host=hh.ru,https://hh.ru/vacancy/131713491,[],"{'id': '4138182', 'name': 'Topface Media', 'url': 'https://api.hh.ru/employers/4138182', 'alternate_url': 'https://hh.ru/employer/4138182', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original-round/3078451.png', '90': 'https://img.hhcdn.ru/employer-logo-round/3078452.png', '240': 'https://img.hhcdn.ru/employer-logo-round/3078453.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4138182', 'country_id': 1, 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Образование в профильной или смежной области. Знание <highlighttext>Python</highlighttext> (в особенности pandas), Google Sheets, Google Colab, GitHub, API. Будет круто, если...', 'responsibility': 'Выгружать, обрабатывать и структурировать данные из различных источников. Разрабатывать системы автоматизации и мониторинга бизнес-процессов агентства. Искать и устранять баги...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False,[],"[{'id': 'REMOTE', 'name': 'Удалённо'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,[],False,"[{'id': '156', 'name': 'BI-аналитик, аналитик данных'}]",True,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,,,
130971766,False,Аналитик данных (SQL),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 70000, 'to': 80000, 'currency': 'RUR', 'gross': False}","{'from': 70000, 'to': 80000, 'currency': 'RUR', 'gross': False, 'mode': {'id': 'MONTH', 'name': 'За\xa0месяц'}, 'frequency': {'id': 'TWICE_PER_MONTH', 'name': 'Два раза в\xa0месяц'}}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Новодмитровская улица', 'building': '2к1', 'lat': 55.805007, 'lng': 37.589931, 'description': None, 'raw': 'Москва, Новодмитровская улица, 2к1', 'metro': {'station_name': 'Бутырская ', 'line_name': 'Люблинско-Дмитровская', 'station_id': '10.546', 'line_id': '10', 'lat': 55.813333, 'lng': 37.602778}, 'metro_stations': [{'station_name': 'Бутырская ', 'line_name': 'Люблинско-Дмитровская', 'station_id': '10.546', 'line_id': '10', 'lat': 55.813333, 'lng': 37.602778}, {'station_name': 'Дмитровская', 'line_name': 'Серпуховско-Тимирязевская', 'station_id': '9.35', 'line_id': '9', 'lat': 55.808056, 'lng': 37.581734}, {'station_name': 'Дмитровская', 'line_name': 'МЦД-2', 'station_id': '132.723', 'line_id': '132', 'lat': 55.808056, 'lng': 37.581734}, {'station_name': 'Савёловская', 'line_name': 'МЦД-4', 'station_id': '136.893', 'line_id': '136', 'lat': 55.794444, 'lng': 37.590278}], 'id': '23877867'}",,,2026-04-02T12:07:13+0300,2026-04-02T12:07:13+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=130971766,True,,https://api.hh.ru/vacancies/130971766?host=hh.ru,https://hh.ru/vacancy/130971766,[],"{'id': '9716657', 'name': 'Чеки из Аптеки', 'url': 'https://api.hh.ru/employers/9716657', 'alternate_url': 'https://hh.ru/employer/9716657', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original-round/5934520.png', '90': 'https://img.hhcdn.ru/employer-logo-round/5934521.png', '240': 'https://img.hhcdn.ru/employer-logo-round/5934522.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=9716657', 'country_id': 1, 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Способны аргументированно отстаивать собственную точку зрения и слышать чужие. Знаете <highlighttext>Python</highlighttext> (numpy, pandas, scikit). Имеете опыт работы с Amplitude/AppsFlyer...', 'responsibility': 'Ad-hock запросы поступающие от подразделений компании. Подготовка, контроль качества и заливка данных в базу. Поддержка справочников в актуальном состоянии. '}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",True,[],False,"[{'id': '164', 'name': 'Продуктовый аналитик'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,,,
131484415,False,Младший аналитик данных (Junior Data Analyst),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 80000, 'to': None, 'currency': 'RUR', 'gross': True}","{'from': 80000, 'to': None, 'currency': 'RUR', 'gross': True, 'mode': {'id': 'MONTH', 'name': 'За\xa0месяц'}, 'frequency': None}","{'id': 'open', 'name': 'Открытая'}",,,,2026-03-23T21:42:05+0300,2026-03-23T21:42:05+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=131484415,False,,https://api.hh.ru/vacancies/131484415?host=hh.ru,https://hh.ru/vacancy/131484415,[],"{'id': '5995606', 'name': 'Панина Анастасия Александровна', 'url': 'https://api.hh.ru/employers/5995606', 'alternate_url': 'https://hh.ru/employer/5995606', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5995606', 'country_id': 1, 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Навыки написания SQL-запросов и понимание работы баз данных.  <highlighttext>Python</highlighttext> на базовом уровне (pandas, работа с данными).  Знание базовой статистики.  ', 'responsibility': None}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],False,[],"[{'id': 'REMOTE', 'name': 'Удалённо'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,[],False,"[{'id': '156', 'name': 'BI-аналитик, аналитик данных'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,,,
131125665,False,Python-разработчик,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 90000, 'to': 110000, 'currency': 'RUR', 'gross': False}","{'from': 90000, 'to': 110000, 'currency': 'RUR', 'gross': False, 'mode': {'id': 'MONTH', 'name': 'За\xa0месяц'}, 'frequency': {'id': 'MONTHLY', 'name': 'Раз в\xa0месяц'}}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Большая Семёновская улица', 'building': '40с18', 'lat': 55.780031, 'lng': 37.711581, 'description': None, 'raw': 'Москва, Большая Семёновская улица, 40с18', 'metro': {'station_name': 'Электрозаводская', 'line_name': 'Большая кольцевая линия', 'station_id': '97.803', 'line_id': '97', 'lat': 55.782057, 'lng': 37.7053}, 'metro_stations': [{'station_name': 'Электрозаводская', 'line_name': 'Большая кольцевая линия', 'station_id': '97.803', 'line_id': '97', 'lat': 55.782057, 'lng': 37.7053}, {'station_name': 'Электрозаводская', 'line_name': 'Некрасовская', 'station_id': '98.802', 'line_id': '98', 'lat': 55.782057, 'lng': 37.7053}, {'station_name': 'Электрозаводская', 'line_name': 'МЦД-3', 'station_id': '135.853', 'line_id': '135', 'lat': 55.781111, 'lng': 37.705278}], 'id': '23486880'}",,,2026-04-04T13:14:59+0300,2026-04-04T13:14:59+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=131125665,True,,https://api.hh.ru/vacancies/131125665?host=hh.ru,https://hh.ru/vacancy/131125665,[],"{'id': '11690748', 'name': 'НПП МетаСофт Про', 'url': 'https://api.hh.ru/employers/11690748', 'alternate_url': 'https://hh.ru/employer/11690748', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original-round/7122476.png', '90': 'https://img.hhcdn.ru/employer-logo-round/7122478.png', '240': 'https://img.hhcdn.ru/employer-logo-round/7122479.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=11690748', 'country_id': 1, 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Уверенные знания <highlighttext>Python</highlighttext>. Знание принципов оптимизации вычислительных процессов. Навыки работы с большими объемами данных. Желание учиться и развиваться в новых...', 'responsibility': 'Использование существующего решения для выполнения плана построений. Написание нового функционала, оптимизация производительности системы. Активное взаимодействие с командой: участие в обсуждениях...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,[],False,"[{'id': '96', 'name': 'Программист, разработчик'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,,,
131451573,False,Python-разработчик (Junior),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 80000, 'to': None, 'currency': 'RUR', 'gross': True}","{'from': 80000, 'to': None, 'currency': 'RUR', 'gross': True, 'mode': {'id': 'MONTH', 'name': 'За\xa0месяц'}, 'frequency': {'id': 'TWICE_PER_MONTH', 'name': 'Два раза в\xa0месяц'}}","{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': None, 'building': None, 'lat': 55.75586, 'lng': 37.6177, 'description': None, 'raw': 'Москва', 'metro': {'station_name': 'Библиотека им.Ленина', 'line_name': 'Сокольническая', 'station_id': '1.4', 'line_id': '1', 'lat': 55.752123, 'lng': 37.610388}, 'metro_stations': [{'station_name': 'Библиотека им.Ленина', 'line_name': 'Сокольническая', 'station_id': '1.4', 'line_id': '1', 'lat': 55.752123, 'lng': 37.610388}, {'station_name': 'Охотный ряд', 'line_name': 'Сокольническая', 'station_id': '1.98', 'line_id': '1', 'lat': 55.757228, 'lng': 37.615078}, {'station_name': 'Площадь Революции', 'line_name': 'Арбатско-Покровская', 'station_id': '3.100', 'line_id': '3', 'lat': 55.756741, 'lng': 37.62236}, {'station_name': 'Театральная', 'line_name': 'Замоскворецкая', 'station_id': '2.99', 'line_id': '2', 'lat': 55.758808, 'lng': 37.61768}], 'id': '20172826'}",,,2026-03-23T09:57:23+0300,2026-03-23T09:57:23+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=131451573,False,,https://api.hh.ru/vacancies/131451573?host=hh.ru,https://hh.ru/vacancy/131451573,[],"{'id': '12380192', 'name': 'Поколение', 'url': 'https://api.hh.ru/employers/12380192', 'alternate_url': 'https://hh.ru/employer/12380192', 'logo_urls': None, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=12380192', 'country_id': 1, 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Что ты будешь делать: — Знание <highlighttext>Python</highlighttext> и базовых принципов веб-разработки. — Опыт работы (или учебных проектов) с Django или FastAPI. — ', 'responsibility': 'Разрабатывать и поддерживать внутренние и клиентские веб-сервисы на <highlighttext>Python</highlighttext> (Django/FastAPI). — Работать над API для мобильного приложения и сайта. — '}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],[],[],True,[],"[{'id': 'REMOTE', 'name': 'Удалённо'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,"[{'id': 'SELF_EMPLOYED', 'name': 'с\xa0самозанятым'}, {'id': 'INDIVIDUAL_PERSON', 'name': 'с\xa0физлицом'}]",False,"[{'id': '96', 'name': 'Программист, разработчик'}]",True,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,,,
131352140,False,Junior Backend разработчик,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 80000, 'to': None, 'currency': 'RUR', 'gross': True}","{'from': 80000, 'to': None, 'currency': 'RUR', 'gross': True, 'mode': {'id': 'MONTH', 'name': 'За\xa0месяц'}, 'frequency': {'id': 'MONTHLY', 'name': 'Раз в\xa0месяц'}}","{'id': 'open', 'name': 'Открытая'}",,,,2026-03-18T16:11:43+0300,2026-03-18T16:11:43+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=131352140,False,,https://api.hh.ru/vacancies/131352140?host=hh.ru,https://hh.ru/vacancy/131352140,[],"{'id': '5962259', 'name': 'Your CodeReview', 'url': 'https://api.hh.ru/employers/5962259', 'alternate_url': 'https://hh.ru/employer/5962259', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original-round/5799555.jpg', '90': 'https://img.hhcdn.ru/employer-logo-round/5799557.jpeg', '240': 'https://img.hhcdn.ru/employer-logo-round/5799558.jpeg'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=5962259', 'country_id': 1, 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Базовые знания <highlighttext>Python</highlighttext> (или другого нашего backend-языка, например, Java/Go/PHP — укажите актуальный) и понимание основ ООП. ', 'responsibility': 'Комплексная разработка бэкенд-логики: от создания отдельных API-эндпоинтов и сервисов до интеграции с базами данных, внешними API и микросервисной...'}",,"{'id': 'remote', 'name': 'Удаленная работа'}",[],"[{'id': 'from_four_to_six_hours_in_a_day', 'name': 'Можно сменами по\xa04-6\xa0часов в\xa0день'}]",[],False,[],"[{'id': 'REMOTE', 'name': 'Удалённо'}]","[{'id': 'HOURS_4', 'name': '4\xa0часа'}, {'id': 'HOURS_6', 'name': '6\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,[],False,"[{'id': '96', 'name': 'Программист, разработчик'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'part', 'name': 'Частичная занятость'}","{'id': 'PART', 'name': 'Частичная'}",False,,False,,,
131808079,False,NLP инженер,"{'id': '4219-4219-digital', 'name': 'T2. IT и Digital'}",False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,,"{'id': 'open', 'name': 'Открытая'}","{'city': 'деревня Румянцево', 'street': None, 'building': 'офисный парк Комсити', 'lat': 55.634552, 'lng': 37.430983, 'description': None, 'raw': 'деревня Румянцево, офисный парк Комсити', 'metro': {'station_name': 'Румянцево', 'line_name': 'Сокольническая', 'station_id': '1.513', 'line_id': '1', 'lat': 55.633, 'lng': 37.4419}, 'metro_stations': [{'station_name': 'Румянцево', 'line_name': 'Сокольническая', 'station_id': '1.513', 'line_id': '1', 'lat': 55.633, 'lng': 37.4419}], 'id': '6240503'}",,,2026-04-03T09:57:56+0300,2026-04-03T09:57:56+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=131808079,False,,https://api.hh.ru/vacancies/131808079?host=hh.ru,https://hh.ru/vacancy/131808079,[],"{'id': '4219', 'name': 'T2', 'url': 'https://api.hh.ru/employers/4219', 'alternate_url': 'https://hh.ru/employer/4219', 'logo_urls': {'original': 'https://img.hhcdn.ru/employer-logo-original/1394509.png', '90': 'https://img.hhcdn.ru/employer-logo/7197819.png', '240': 'https://img.hhcdn.ru/employer-logo/7197820.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=4219', 'country_id': 1, 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Практический опыт построения продуктов с LLM (RAG, агенты, prompt-инжиниринг). Уверенное владение <highlighttext>Python</highlighttext> и ML-стеком. Опыт проектирования агентных систем...', 'responsibility': 'Проектировать и реализовывать продукты на основе LLM. Формировать и развивать подходы разработки (Агентная разработка/ai review). Выбирать и интегрировать модели...'}",,"{'id': 'fullDay', 'name': 'Полный день'}",[],[],[],False,[],"[{'id': 'ON_SITE', 'name': 'На\xa0месте работодателя'}, {'id': 'HYBRID', 'name': 'Гибрид'}]","[{'id': 'HOURS_8', 'name': '8\xa0часов'}]","[{'id': 'FIVE_ON_TWO_OFF', 'name': '5/2'}]",False,[],False,"[{'id': '165', 'name': 'Дата-сайентист'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}","{'id': 'FULL', 'name': 'Полная'}",False,,False,,"{'type': 'MAKEUP', 'tariff': None}",True
